id	filename	md5	size	state
224ecba4-13b9-4019-8910-7dd1ed0dc749	97f3c6a3-a3b8-4f59-9242-8845fa1c90a8.htseq.counts.gz	0fde80a497130669a7b6f8c76bbaffe6	255515	released
b0feb1c4-a349-4128-a4aa-d98ea7ac8ffb	f0051b3a-479d-4410-ab85-270618818492.htseq.counts.gz	5f40195db087ed6437925b9876d68fb7	246688	released
68874228-d3cf-42a4-834b-5146bc7fd5e7	5238d39b-b3f9-4beb-a24d-c1f712fb520a.htseq.counts.gz	6fcc02b06015e2d5b169e6dd634ea82b	257628	released
f83ee62e-a824-4951-9a7a-4f51500f5e56	524d2e99-0526-426f-873d-ea65e27b18a0.htseq.counts.gz	0e602a6db97c2f94504f43904a88f76d	256861	released
978810d9-ed8b-4032-9c6c-47264bffb0f1	3532ec0a-2563-420a-b71c-3dcc632ef477.htseq.counts.gz	b2e3e40525d97c55eac15b9f864f98fa	255173	released
f99bc960-6cc7-45e8-8912-434caf37eef3	6fdbffc8-dac1-4a98-9912-9084b2ce3f28.htseq.counts.gz	2d94a3a02de0659edbb17b5f0ebc7a10	253336	released
ecd9091a-4d46-4a74-ada2-24c4b2e64526	6ad59e49-f417-4144-9c13-51b24f66422a.htseq.counts.gz	59b35f6044c7682702364158ec71e98c	247355	released
a89f3d00-8976-407d-ac6f-eec54f8d4510	5061303f-9743-4495-a9ea-a5c579992525.htseq.counts.gz	78d5facb35b2ab18aaf5066fd73d64ee	262824	released
6bcd3e0b-fd82-455f-a0a8-f1e5b966de81	b468a0f7-2b37-4988-a179-34870f3ff1fb.htseq.counts.gz	f7fd824f5f2e2fe12c81e6e8cdaf9b1e	247632	released
f965cf72-ef45-4926-9194-d119ae4e7054	156c4f8b-4467-46d0-bc55-085a29377f3e.htseq.counts.gz	3f550875b4737c1668d74f5f151c06f5	264013	released
5fb67cab-eb58-4699-8635-494c1ba4689a	80af6fa2-c963-4ab7-9965-8b1678f49376.htseq.counts.gz	4b8ed6f0f2260039cc32a77cd5e780d8	245456	released
ba54162e-9a85-418a-a27d-80f3dcb7c923	5161838c-0899-45da-9fdf-2e44a3b402db.htseq.counts.gz	c3bcddd2300e82d3449495d71ac3ea6a	258227	released
34d0ce62-261b-4080-bf87-c4eb40f7afae	69918dce-8729-48a2-8294-a8b6b72c02e7.htseq.counts.gz	112fb8a7975a396d2d3f7a7c27ca8a93	246285	released
496e5221-1a98-428e-acca-0a0ac07e96c2	f67ccdd6-1577-45fd-9e49-251b289d1179.htseq.counts.gz	eaa841734ad59c24cba46b94dd88b64e	249210	released
505fb071-db55-4ecb-b431-68e6bc0eb3e8	3b7cb73f-d672-4d68-b28a-e01b82096ba4.htseq.counts.gz	4c39dcaa21153554a0a309c547495901	261415	released
e07b84a7-c8b0-4009-a3d3-23d7fab03677	3fbb4c61-e8c6-40dc-b7bc-786380add78d.htseq.counts.gz	51970836852aa1e51b87d810ba65cccf	262930	released
1a3d9274-9e3f-4b65-bbe7-663dcfe94f6a	1742f583-99dd-46ba-9df2-b47d9cb1c3f9.htseq.counts.gz	615c9f3085cd65db1662fbd55c6eba0e	248070	released
4d7cfd50-b134-42b0-8519-ef2078461576	372ab2b4-31f7-4e79-962e-ce2b4a385c12.htseq.counts.gz	cb6e829d0fa8dc46cdfd1dd8af86af7b	258740	released
55347ece-36b3-4a00-82b2-5013320791f2	43b969ef-d7cb-4c8d-b6de-fdfa48b8edff.htseq.counts.gz	70b575955a48c22a3dd413b74ca94d68	245376	released
7572b8b4-182d-4530-921d-b10a3ff9becc	060ae2b3-e1ae-41e4-9b67-ba3938f90d3a.htseq.counts.gz	2b2078402d308a158167ebdd6f68c41f	262272	released
fc1d84a0-31db-4e6f-a052-15fd7fcfe86b	e4d01f10-116a-4936-a24b-dda4e6c53397.htseq.counts.gz	8e4f4739cf2510ba52a5db15045eb65b	247258	released
aa04908b-4a5b-48af-9391-4853b6049d06	0f1cc324-508e-4543-8843-94de0071f9f7.htseq.counts.gz	0f64ab8315045e05c44f3ae41f12dff8	252991	released
d93751f0-93e6-4832-bea3-25375148dd48	df692bf8-d523-4528-aa0c-a0549373adee.htseq.counts.gz	1701912dd7cb4cdd5701ca0963a6eb3b	251404	released
76204583-ae8a-4db7-8ee5-28cbecf39a5d	a059cf08-5046-4a79-a82f-c07da2955035.htseq.counts.gz	4ccef4793cec0a9acd5e835fe20e0e64	247125	released
5f47bd26-2821-4011-b2e4-8f196eacf485	37616fc4-9761-47f8-a819-9a9ed6564b21.htseq.counts.gz	24fee9f0916a5926e7ba8ba1d617c07c	256455	released
9c8d605a-476e-4bf3-9567-9dc9a0c12f30	2d683c1f-3a48-4bb8-84f9-bad6347c008b.htseq.counts.gz	78bf260d5b7183c047f26e0b56822179	256002	released
50c1072f-638d-41cd-85b7-708f5059099d	d751b729-f6cf-4fdf-b55d-f82830f0b26c.htseq.counts.gz	7839293355755358ba602dc08d51b4bf	244959	released
