id	filename	md5	size	state
ca8eae30-4b56-49c6-932c-27b673190c87	6476b6b8-7e7e-44ac-9869-c93b654458a5.htseq.counts.gz	509591c225f365c8d55a67f81738c2e3	250321	released
13351082-b874-4dad-bc2d-b686a11218f9	60be1c92-8f57-45b0-adc8-eb2f2d0e3805.htseq.counts.gz	f23ffa7d59eeb62d7fcdf4b12cb80b62	255764	released
43515213-1376-4894-8a64-cc83033b2b30	8e1d09e8-6dbd-408d-a839-f5bbebe30a57.htseq.counts.gz	4bed199f8fa47a8033bb112a41b97abd	251323	released
6380bf37-1357-4a37-8bd5-59d3483469bb	2133df71-b9a1-4b99-8eb7-0b7f9a1b5cc2.htseq.counts.gz	a1bb29a71921b5ede9dd53464d635bf9	256428	released
001c6345-176c-4ab3-a0c8-27384879a8ff	8f4891e2-55c1-48f4-bdce-c3848f74b8dc.htseq.counts.gz	74a69d5862912ec5507d26f1bf7c71e5	254599	released
68874228-d3cf-42a4-834b-5146bc7fd5e7	5238d39b-b3f9-4beb-a24d-c1f712fb520a.htseq.counts.gz	6fcc02b06015e2d5b169e6dd634ea82b	257628	released
e2042175-b2ed-44d4-b143-e79ffe26afef	dfbd7fa2-381f-4d52-a997-8e9ec71f760f.htseq.counts.gz	e67a95d32623be049afa72ace470d505	247460	released
19b539cb-5a31-482f-a99f-2cbd2eaf42bb	f1382ff6-7c8b-466e-b6fd-bb120c7031b1.htseq.counts.gz	f2a61826c72de1d23d880d58e62306d5	253418	released
da88fab2-c317-4371-8aad-d90ae161a4ee	1477e0a8-d5fb-4572-8caa-c6f2d1786402.htseq.counts.gz	527ae998c6a0ef1e858c2a1763528bb4	257956	released
12422e57-110b-4c42-9000-6d163d463c31	7ff71ff2-38d3-46b3-b2a3-105377beb504.htseq.counts.gz	65082f7772bd9e702ddaeefe1cf2bcf0	251178	released
a96d31d3-b328-4605-8577-4d51198c5b42	10d6ec12-4039-4262-b16d-1bd671b99a57.htseq.counts.gz	2034fde75f63a695ccda7673217ea577	256287	released
d8bc10b1-f156-4fbb-ba3f-65bb95fc6277	2c2df194-4ed9-4b96-9b19-3b7988bd6d81.htseq.counts.gz	d933b6bd4e55e76bb5834e7c90743624	262722	released
0efdd168-bc53-456b-99be-0d32d487e63d	3be615b7-aa41-47c4-852d-a5423cd03188.htseq.counts.gz	ece3be0c9339a9371fcb1febe1d8c4ec	250576	released
a85bb2b4-7d7d-42df-b1e1-8c6f3c643c1a	5eb38f95-cf76-4066-9a4f-df7c30728ff2.htseq.counts.gz	6dbc4a95218be6d7e0c474fb7f1daa7e	253359	released
9a721d29-4649-4098-bd37-72863a36a15f	39a4a8d9-029d-46bb-8d3e-6edd0d4d1191.htseq.counts.gz	185ce3c01768ac1ec7073e0a5de6f975	247205	released
10e9d27c-b7e7-4ddb-afaa-972df7f123ef	b32ed1d3-c9f1-42c7-ad2a-32794591a839.htseq.counts.gz	bc7281ebecf57ce938e8829b650b4a93	258250	released
5c3526dd-343b-452b-bd79-876af18dbbc9	ac5bc405-b210-4bf3-a4e6-6ff071aa59c7.htseq.counts.gz	f42b09da21a02bd529b90da57b0bdbab	252081	released
16717c82-a763-4fa2-8621-3fa445c3e32a	23894b02-d2b5-4a15-a11f-cf81d9d97f53.htseq.counts.gz	b404f9d95d837ae8517bd27d13de8d28	245995	released
1a3d9274-9e3f-4b65-bbe7-663dcfe94f6a	1742f583-99dd-46ba-9df2-b47d9cb1c3f9.htseq.counts.gz	615c9f3085cd65db1662fbd55c6eba0e	248070	released
dfa20fd8-d698-45bb-b98e-b4e5bd25445c	3c54cfc7-eed0-454e-9877-40eb85a7240a.htseq.counts.gz	a1becd648a2156ec35f7ac8cca84f453	251887	released
5fe78954-8e41-4748-bcbc-937fc3bacb44	6011bac0-a278-42b4-bfd9-97f1b618926e.htseq.counts.gz	faffa77aacc10b4896c50458f6581c51	252741	released
7572b8b4-182d-4530-921d-b10a3ff9becc	060ae2b3-e1ae-41e4-9b67-ba3938f90d3a.htseq.counts.gz	2b2078402d308a158167ebdd6f68c41f	262272	released
f42d3690-7246-438b-b030-85f6624da114	314b3b08-27e7-4936-a7d9-2dce4e4d3db7.htseq.counts.gz	0736ae3b101a4975b0535b8aa6f549b3	250511	released
05e18968-65a8-4240-a597-57d03c3ec174	f9d52f9e-4f82-431a-a427-1c1259b8e765.htseq.counts.gz	9d06730363c894df1b30ee8aa863e81d	252852	released
4b85d0a9-2229-448a-8ac8-396aa35d4d76	3ce57f19-ef4b-4bb9-8530-eb0752975f4b.htseq.counts.gz	6cc6c65967a66c809b379ebe1ad9ccd7	246443	released
0908ba82-9b98-41d7-a512-48420d290f34	959e98c8-c279-4178-acc2-0bb0c42ed5c2.htseq.counts.gz	60bfd38adb6d2790111728fc5aadd3c3	244727	released
c30f5358-067d-420c-a516-ae7880e8527d	e5ea329f-8042-479c-b8ff-fb752b6b44e0.htseq.counts.gz	8cdb8f7567d5f0d495085da6534a60b7	258823	released
9a688f9e-78ac-4ef3-8018-0d0d7bcd8db5	20a96363-a968-445a-bd9a-96b27e403516.htseq.counts.gz	b4d6c5ad6cf8fb4847953a859f461c01	247387	released
79adaacc-ae37-4229-84b6-0aa5a51b57e3	21e82bf2-237f-4f8f-86d0-aaf2ea5c4729.htseq.counts.gz	7d134b9351e26e3cbc8c5e2b6ca44700	256283	released
ad6b4f3c-6370-47b2-8c49-b274d91ff618	ab51cccb-b5df-434a-a5a4-32368ccf0b24.htseq.counts.gz	686a7a6a6dbd0245d7d54741d56db700	262626	released
fbf6b068-0b71-473e-99b1-a873516b910c	29b681e1-b036-4b63-9113-59bb58618c8a.htseq.counts.gz	f97340a1d4885601fda0b7f67efd8c51	248418	released
d433d23f-b5ef-484a-a45b-198b747963c4	708a03d3-8774-4c63-a04e-c4d3d85fd4ec.htseq.counts.gz	8df465730ef6fcb3bb8758e3c02692b3	262978	released
4b2b8d75-913d-4467-a5f4-9ce41d363913	4984202f-29c6-4d54-9db5-c5965cf60ba1.htseq.counts.gz	1efd84b481bd3ca07c6729839f20f29b	254371	released
00f5e705-ae00-440e-8e18-9c15726d48c6	0cd5fbf1-9e0f-4017-9e26-93ff0828c169.htseq.counts.gz	bfe7aef2bd4898168867012eec596712	259978	released
f15fbbf3-c67e-4e93-8ca9-c26a77a2e3fe	dd5e64ab-9ed8-4259-9d68-598853fa41f4.htseq.counts.gz	a6e7bc4b67c654508c82a423ae0a3c46	253104	released
82a7b49d-8df5-49dc-a573-074ab9238370	b08b8095-f54b-4649-ae13-cfdac7c7c5f2.htseq.counts.gz	2a03f59863111d5c7f29bb4009778a75	259133	released
cc4dad28-ea6c-4480-a2c7-481ef5dc8f08	1d5c03c6-a0a3-4255-b54c-d9bfac305a7f.htseq.counts.gz	788e6caad0a41a3f4da9e01e9d47eb39	257850	released
674504df-8a82-4f78-b636-4b83bce00ddd	5c9a781e-50c1-44ec-9c8a-7d8fca99e3c3.htseq.counts.gz	632447e9d5b1b70e4e4afb13343aeb2d	251913	released
78882db5-197b-43dd-b8f8-9ea9503f714e	ac32a9f2-e148-4e70-899e-78b8ae563839.htseq.counts.gz	531972caad24d4caf7cc378b981b0d36	247795	released
398d1a0e-f2a0-4508-8f38-75d2ba13def7	d0d7fae1-355e-4ada-a469-b69d59c1edfe.htseq.counts.gz	1f73278f4d3b8adfbc58b19e6d4ec71a	246947	released
b0ea806a-7060-47e2-98a9-44e823092493	e24a7d5b-0da7-4f1b-aca1-9dc89e6b281c.htseq.counts.gz	49fc871235969eb603caf720130c26b6	254381	released
d819eea3-786b-4029-9cb8-3c28a5b2780c	69fd8112-03f0-4d28-aa51-03317daf4616.htseq.counts.gz	8a0928329bb4bca1818de0d92a5084fe	244858	released
9a5b78bb-cfd6-4f43-853d-258a6fdef278	f8d249c9-6792-47a0-a553-607ca1c76436.htseq.counts.gz	308a47bbde8428a4db732db6984bbc70	257785	released
29fa3da5-59d1-466f-843e-24623b83ba31	9dd22540-6908-447a-bc26-2da5522f68b6.htseq.counts.gz	99a8e4e0eaddb01b0a1955157518ba9f	250175	released
