id	filename	md5	size	state
eeee66cc-0d44-4ea0-af5d-46819547f78a	f994e1d7-6427-4884-8993-f930c6331bff.htseq.counts.gz	8bb60d635ee5286189351b30251ccf9d	260834	released
8b27ded7-8f20-4c2c-8e0f-5db33c10bd0e	3880c844-453a-47f0-a046-922baa28a07a.htseq.counts.gz	1147c0a247b8000631acd4d3ad0199e5	248937	released
c8fe657f-b0c9-4231-be30-090d485f037e	b20e7824-c90e-464c-9f17-d138e84ca8e7.htseq.counts.gz	5fe2d81e6df42c3271cd2b183983205f	253923	released
4737fe00-45d7-4db3-aff4-cef91365d756	cb978bf0-8680-4e4b-a7db-9d644a0a0a9a.htseq.counts.gz	e126d18a7bb448cdb7a9b220fe2e5a3f	258875	released
5ff00368-bf50-4d62-9204-d2b801eea88d	90af0faf-3e8c-4741-bf49-f87a5b21d54c.htseq.counts.gz	480a90715ab8d6ec159332519f648478	252741	released
f83ee62e-a824-4951-9a7a-4f51500f5e56	524d2e99-0526-426f-873d-ea65e27b18a0.htseq.counts.gz	0e602a6db97c2f94504f43904a88f76d	256861	released
ab596078-5b5c-4193-95fb-519ee8aa7f6e	b8ab62ef-0259-4df2-95b6-843a150d11ca.htseq.counts.gz	b0888cd262e88302b745a0c6c9bc4176	252669	released
bfba24cd-18e3-4bff-a697-80a1540fd0d8	dbebc784-425a-4946-b5e1-cb43c349c398.htseq.counts.gz	f74917845342a6d7b0d885838271937c	254368	released
19b539cb-5a31-482f-a99f-2cbd2eaf42bb	f1382ff6-7c8b-466e-b6fd-bb120c7031b1.htseq.counts.gz	f2a61826c72de1d23d880d58e62306d5	253418	released
a96d31d3-b328-4605-8577-4d51198c5b42	10d6ec12-4039-4262-b16d-1bd671b99a57.htseq.counts.gz	2034fde75f63a695ccda7673217ea577	256287	released
4f222653-52ea-4adc-975d-b181a2889525	562cb51b-fef8-4d61-9067-9177a2249c45.htseq.counts.gz	03939429ead3931f62e94eb64e0e9867	250596	released
f781ad0d-2b09-46e1-b71f-79e33e9bdd7c	be006f64-936c-416c-9e49-c7a861e55522.htseq.counts.gz	5b7c7b30d8aeca30af3bc2bb9b17ea09	247301	released
21f2e1df-9797-4d33-ab48-34d4b53c25d8	890494a7-cfed-413e-97e9-2ccf0257d94a.htseq.counts.gz	c9d8bdb9efbe118f0d904a9e613798fd	244321	released
c425fe06-a1c3-4b2c-a09e-4f2981770196	708e035d-e38b-4969-a96e-f7c324b3f8a3.htseq.counts.gz	22e4c7a773d4bd27268f777a2b6858e2	247386	released
77c6e9b5-926e-4eec-be86-efc6627bda2f	245ad8f3-c93e-40ac-8ff0-92e7a5dacc20.htseq.counts.gz	b7426638e8b45af8d465e20fb95bf296	260332	released
e226bb40-09aa-4f68-ac77-ab292ef34feb	6d158f35-9847-41fd-814e-9bb63cca955f.htseq.counts.gz	558c3c11d5b086ad75488f1f2c728d5f	252583	released
e06229fb-1a32-4636-b191-837797540806	82cd39d8-7a0d-4ebf-adad-57b3a4e68262.htseq.counts.gz	b034664efdeb95247f6cab7d5fefc825	248595	released
6f42c71f-4f7f-4465-a98e-a3e0eaeb7950	e657cd5a-217e-45df-8203-a3f8c4907f4a.htseq.counts.gz	0dddce0d1ca341188cf795f5d4fdb5f8	249543	released
c99dd93c-f240-4244-8eaf-39252666f97b	49becce3-507f-4df5-a679-efce45e8eae0.htseq.counts.gz	3ea3b879acfc636c340b050d104c1429	255743	released
f965cf72-ef45-4926-9194-d119ae4e7054	156c4f8b-4467-46d0-bc55-085a29377f3e.htseq.counts.gz	3f550875b4737c1668d74f5f151c06f5	264013	released
3470fae1-e405-4f54-b180-0fc50190074a	fda300eb-a8da-4665-bd1f-acf6e67bcaf4.htseq.counts.gz	790239f1cad91226b8c434f3be4fe3d2	251967	released
3455fb41-0f1e-4313-aca9-31b59fa265e0	f93932b6-c8c3-45d8-9911-c4d387d9bad0.htseq.counts.gz	25a5ab8041da2f236efc9c5302c4030e	259013	released
97ad1af5-5e58-4908-bb49-16a20d0f7f3a	1b3deeeb-5fde-4154-a57f-bb575ccfb2be.htseq.counts.gz	a4763cdb6509d59fba0c3b467af3eedc	251978	released
10e9d27c-b7e7-4ddb-afaa-972df7f123ef	b32ed1d3-c9f1-42c7-ad2a-32794591a839.htseq.counts.gz	bc7281ebecf57ce938e8829b650b4a93	258250	released
76c071bb-4ed8-4509-bd2a-0bb97290d40d	0b000450-72a5-4d9b-a22b-fba79f04eb1a.htseq.counts.gz	739e8895a8cf991883df70120dffd630	257861	released
ba54162e-9a85-418a-a27d-80f3dcb7c923	5161838c-0899-45da-9fdf-2e44a3b402db.htseq.counts.gz	c3bcddd2300e82d3449495d71ac3ea6a	258227	released
214a3018-5f2f-4340-bde2-7f893b84e573	bc81c085-a31e-4b2d-9697-3680d9b0f132.htseq.counts.gz	7bdf731acab645997754d5124bc15588	248552	released
3ab2f73d-0da0-4285-9e3f-761e92b1fb3e	937cc0bd-e6b5-48c3-b336-66fe281385f5.htseq.counts.gz	2d2842439a9cf3f3fb12af5a36b04d16	256681	released
505fb071-db55-4ecb-b431-68e6bc0eb3e8	3b7cb73f-d672-4d68-b28a-e01b82096ba4.htseq.counts.gz	4c39dcaa21153554a0a309c547495901	261415	released
19683bd2-b6ae-4802-a847-0d70122337f8	bdc9dadb-a543-4965-b85f-8b20b14d4efe.htseq.counts.gz	9018528a3cb434607e46f0586c9dae75	255242	released
9c740043-d02a-412a-851b-cfcb625e04c4	6e98ba8f-e00d-470c-832f-adc3dc6956a6.htseq.counts.gz	74b0373a0ccc28097775e4557fedfb00	249824	released
2cb273f0-9c32-463f-9450-c12b219c5722	50a313a9-99f6-4ca0-84b3-0f4b59ae0a1a.htseq.counts.gz	a1f55da03e9c9e7d02708ff7a2622bb1	256502	released
1a3d9274-9e3f-4b65-bbe7-663dcfe94f6a	1742f583-99dd-46ba-9df2-b47d9cb1c3f9.htseq.counts.gz	615c9f3085cd65db1662fbd55c6eba0e	248070	released
4d7cfd50-b134-42b0-8519-ef2078461576	372ab2b4-31f7-4e79-962e-ce2b4a385c12.htseq.counts.gz	cb6e829d0fa8dc46cdfd1dd8af86af7b	258740	released
dfa20fd8-d698-45bb-b98e-b4e5bd25445c	3c54cfc7-eed0-454e-9877-40eb85a7240a.htseq.counts.gz	a1becd648a2156ec35f7ac8cca84f453	251887	released
5fe78954-8e41-4748-bcbc-937fc3bacb44	6011bac0-a278-42b4-bfd9-97f1b618926e.htseq.counts.gz	faffa77aacc10b4896c50458f6581c51	252741	released
