"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SYMBOL"
"SOX7"	398.422833689683	1.52215693331992	0.331489878249326	4.59186549332602	4.3930147564606e-06	8.2608181292471e-05	"SOX7"
"NKX2-1"	7586.65922781397	0.610052845611611	0.351292779471283	1.73659375102949	0.0824589033157433	0.196417294936273	"NKX2-1"
"ETS2"	8415.9483320514	0.175466177111796	0.228240312981067	0.768778200572969	0.442024992136427	0.617834728146059	"ETS2"
"SALL2"	848.203034868191	0.0472608910865998	0.30233605927987	0.156319068255271	0.875781526804553	0.931719250064362	"SALL2"
"OTX1"	260.673922916113	-1.14535441805153	0.363319642753635	-3.15247039595982	0.0016189523679695	0.0101406843921864	"OTX1"
"TCF21"	763.13915520897	2.57781777446541	0.340928795449239	7.56116177006593	3.9948503213019e-14	1.48050817428415e-11	"TCF21"
"FOXF1"	802.383032870545	2.04811953772826	0.262176001423894	7.81200234424507	5.62865136947013e-15	3.1290024753595e-12	"FOXF1"
"KCNIP3"	163.53417267807	-0.597591057195143	0.33392334231739	-1.78960552157848	0.0735173502278539	0.180585493400068	"KCNIP3"
"PPARG"	1209.79906641034	0.175031212461902	0.363791856845714	0.481130099995981	0.630424036494667	0.771984111323991	"PPARG"
"SOX6"	197.932614191253	-0.165244924348671	0.338828508946804	-0.487694866238704	0.625765988632474	0.769290722220971	"SOX6"
"ARNTL2"	1384.79178201901	-1.8950489627074	0.298559870900379	-6.347299645436	2.19127073473254e-10	2.10705487027877e-08	"ARNTL2"
"NPAS2"	1199.38023452134	-1.06612692930539	0.291397871554402	-3.65866409256303	0.000253533386263206	0.00228475451278428	"NPAS2"
"SOX5"	131.947539212124	1.17430423631269	0.27445851510358	4.27862198361565	1.88053921593759e-05	0.000273755418267708	"SOX5"
"NFIX"	5008.39167873815	1.16293071697747	0.235834135810649	4.93113820431488	8.17518672039928e-07	2.15324867495666e-05	"NFIX"
"MYBL2"	1666.00358411428	-2.13867681499149	0.331569564024932	-6.45016022891256	1.11731959417003e-10	1.23453405345904e-08	"MYBL2"
