"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SYMBOL"
"IRF8"	1052.88108208531	-1.61754798663489	0.0979355230427831	-16.5164583429883	2.79326479148145e-61	2.41205836462469e-59	"IRF8"
"SPI1"	1734.83413990344	-1.53842884635615	0.0882204776461795	-17.4384551909392	4.21308695299579e-68	6.22387845328923e-66	"SPI1"
"ERG"	827.429661545366	-0.919370280457683	0.0950463408910444	-9.672863487839	3.93218797736993e-22	4.0888807501738e-21	"ERG"
"IRF4"	557.285182766301	-1.54085814030225	0.120025314111164	-12.8377763617028	1.00726202133385e-37	2.48342188018517e-36	"IRF4"
"PITX1"	5161.87556750209	1.01840517086514	0.153883702665091	6.61801836859602	3.64045800035044e-11	1.53149415759624e-10	"PITX1"
"NKX2-1"	1095.05841538648	-1.90984809862876	0.204508886302902	-9.33870470449901	9.75198013236849e-21	9.18422786438813e-20	"NKX2-1"
"TAL1"	150.882059464133	-1.13942273796037	0.135685364521554	-8.39753603476796	4.55944650105908e-17	3.25739832959357e-16	"TAL1"
"CSRNP1"	2179.61460392665	-1.87061115895747	0.100147056593761	-18.678643412811	7.38727744457202e-78	2.57109464735039e-75	"CSRNP1"
"FOXA2"	310.092033593808	-1.93890305128741	0.198869633728174	-9.74961845576489	1.85162868300296e-22	1.95961294900402e-21	"FOXA2"
"SCML4"	69.942483315358	-1.44816680162394	0.117550959013423	-12.3194809619424	7.11507461536727e-35	1.48403685822275e-33	"SCML4"
"TCF21"	250.036686802887	-2.87564824482601	0.143639999519519	-20.019829117552	3.69987880035186e-89	4.40902223708597e-86	"TCF21"
"NFE2"	87.5665032554959	-1.43754794277097	0.15370098238368	-9.35288714799792	8.52872196491102e-21	8.07473014421528e-20	"NFE2"
"MYBL2"	5379.90805914119	0.545484927074061	0.0956238770480757	5.70448452743465	1.16695693128413e-08	3.78847714251793e-08	"MYBL2"
"SMAD6"	542.05335199107	-0.820196505717502	0.107215627447262	-7.64997160624694	2.01023695514018e-14	1.14801870840673e-13	"SMAD6"
"THRB"	639.057579920889	0.253230278026481	0.108807422279492	2.3273254041072	0.0199479526698159	0.0293642142776051	"THRB"
"EPAS1"	17166.1038089299	-1.44250150432208	0.11066553675588	-13.0347852331312	7.75851719716957e-39	2.04246678791467e-37	"EPAS1"
"MYRF"	809.215930828569	-1.28150225313747	0.136612595975933	-9.38055707076399	6.56250750225322e-21	6.25625715214807e-20	"MYRF"
"TWIST1"	484.187351869177	0.0901920888649562	0.150113585337462	0.600825625889891	0.547956134108694	0.598150589141552	"TWIST1"
"ETS1"	4830.4271479905	-1.17444000073453	0.0917100835325252	-12.8060073167201	1.51743816307993e-37	3.70043753957078e-36	"ETS1"
"PKNOX2"	179.004972971883	-1.28942551709923	0.126276557855981	-10.2111234182502	1.76805751596096e-24	2.13396543536814e-23	"PKNOX2"
