"1B - FS"	"AllB - OR"
"1"	"IFI16"	0.00024258632263129
"2"	"HIF3A"	0.000446550436121996
"3"	"TFAP2A"	0.00240646792345578
"4"	"ZEB2"	0.00570803541187033
"5"	"TOX3"	0.00804945620256894
"6"	"E2F8"	0.0117394083393309
"7"	"TWIST1"	0.0125506446928945
"8"	"SOX13"	0.0149531739372309
"9"	"AHR"	0.0159091661500746
"10"	"FOXA2"	0.0184567879436527
"11"	"DLX4"	0.0243141471367724
"12"	"SALL4"	0.0270958639533353
"13"	"SCX"	0.031960801858556
"14"	"FOXM1"	0.0357475028619699
