"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"SYMBOL"
"CASZ1"	937.075233970292	-0.124541499718544	0.217177887368366	-0.573453868750933	0.566337425421101	0.698604567007557	"CASZ1"
"FOXK1"	3049.32606852076	1.02561655684955	0.199681254803645	5.13626858894736	2.80247057038207e-07	1.14080432440564e-05	"FOXK1"
"TCF21"	763.13915520897	-2.25780206451685	0.357588647337955	-6.31396461080325	2.71976158160945e-10	4.79028106685649e-08	"TCF21"
"SOX7"	398.422833689683	-1.36237140246507	0.318578987489841	-4.27640069170763	1.89939227176616e-05	0.000313434964030132	"SOX7"
"FOXF1"	802.383032870545	-1.65283282341792	0.285954817660439	-5.78004887954222	7.46789251938924e-09	6.43065315053409e-07	"FOXF1"
"NFIC"	7042.07000319967	0.0752711729104423	0.197235873613864	0.381630235571667	0.702735653930114	0.806665757765022	"NFIC"
"ARHGAP35"	4622.76388068155	0.392868598396362	0.182942401301916	2.14749886084636	0.0317535877830638	0.0883705527335609	"ARHGAP35"
"EPAS1"	28614.6548265354	-0.875654125665234	0.273879828312631	-3.19722022267986	0.00138758945361005	0.00841302958086887	"EPAS1"
"ZBTB16"	354.978196736586	-1.54239829464742	0.44478845061823	-3.4677121056169	0.000524909312762002	0.00404926789450271	"ZBTB16"
"SMAD6"	1000.18869836254	-1.2937206218025	0.294911651173933	-4.38680742741997	1.15026543918178e-05	0.000216327320768874	"SMAD6"
"BCL6B"	899.540669842835	-0.752267853073451	0.219707338036747	-3.42395415553954	0.000617170315423272	0.00454610465468513	"BCL6B"
"NA"	NA	NA	NA	NA	NA	NA	NA
"RAI1"	2799.79637003665	0.729520362811549	0.183107032346199	3.98411985309364	6.77306846426806e-05	0.000832795847178286	"RAI1"
"PKNOX2"	319.448525128004	-1.85772160228332	0.293778869169707	-6.32353718132862	2.55642654575422e-10	4.71917956684909e-08	"PKNOX2"
"TBX4"	820.244695216317	-1.30856555214775	0.283815667888963	-4.61061773608532	4.01474185611827e-06	9.40951816580868e-05	"TBX4"
"PLAGL1"	882.246567561293	-0.40410534385603	0.237131393108811	-1.70414106103025	0.0883547371134698	0.186313705371208	"PLAGL1"
"TAL1"	220.300915035611	-1.67723058008133	0.285155158127907	-5.88181743263086	4.05785800402987e-09	3.94454841714138e-07	"TAL1"
"TOX3"	982.983481654368	0.238129500117584	0.387468855557545	0.614577137496458	0.538834016725878	0.675450519592463	"TOX3"
"AKNA"	3229.4829686474	-0.568698864922336	0.194970991749864	-2.91683834512132	0.00353598982939542	0.0170928595312813	"AKNA"
"NR1H3"	1815.77783538857	-0.849274335932223	0.204743758714287	-4.14798644542498	3.35412252068294e-05	0.000489069553446138	"NR1H3"
"TBX2"	1978.15098298027	-0.955440655295014	0.254243369394241	-3.75797668812934	0.000171292835027169	0.00172837676817828	"TBX2"
"HMGA1"	9577.36485625653	0.520352575476393	0.258351469893768	2.01412663024661	0.0439962402644735	0.112181565298657	"HMGA1"
"SOX17"	196.44191906863	-1.79919240564311	0.309922530024487	-5.80529723186294	6.4251919202539e-09	5.68645468006948e-07	"SOX17"
