"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000211893",55263.0924507803,2.13860382358688,0.182995592157125,11.6866411828686,1.49170032310563e-31,3.60326260479907e-29,"IGHG2"
"ENSG00000211896",380972.957748255,2.14574789180572,0.174274272893587,12.312476512904,7.76047721818033e-35,3.01562022336899e-32,"IGHG1"
"ENSG00000211897",55437.3116558724,2.04262986287199,0.176682127201545,11.5610440921504,6.49146567830637e-31,1.43253023456452e-28,"IGHG3"
"ENSG00000211933",192.9958695069,2.08624472621165,0.219099199715025,9.52191851419429,1.70010927747179e-21,1.34466607676142e-19,"IGHV6-1"
"ENSG00000211934",2938.35457328272,2.24516415348094,0.21592963848055,10.3976655047435,2.54081704864349e-25,2.9491626457469e-23,"IGHV1-2"
"ENSG00000211937",372.86399076117,2.05544258395043,0.215188900188743,9.55180579550152,1.27455000614558e-21,1.02624240359695e-19,"IGHV2-5"
"ENSG00000211938",134.607664399404,2.02369471768127,0.195972787430739,10.3264067639824,5.35283201824788e-25,5.9801170203863e-23,"IGHV3-7"
"ENSG00000211942",519.650952372099,2.36761171124272,0.219893249505255,10.7670959275452,4.92284528987734e-27,6.98379837750456e-25,"IGHV3-13"
"ENSG00000211943",3286.0772311766,2.13033233419628,0.190795604072785,11.1655210535332,6.01375394635257e-29,1.06431536426784e-26,"IGHV3-15"
"ENSG00000211945",5538.63225273467,2.35191784883552,0.188397733131625,12.4837905941912,9.15234682530842e-36,4.0899549875597e-33,"IGHV1-18"
"ENSG00000211946",215.019386749312,2.12920562746416,0.224796155357373,9.47171727238491,2.75280253771123e-21,2.14874870574621e-19,"IGHV3-20"
"ENSG00000211947",3062.44102145673,2.3126904574945,0.18848005236697,12.2702133644981,1.30907926723247e-34,4.87495664620426e-32,"IGHV3-21"
"ENSG00000211949",6271.14363731205,2.01392253914662,0.182057783640775,11.0619963556207,1.91780746667968e-28,3.11643713335448e-26,"IGHV3-23"
"ENSG00000211950",2528.66196288292,2.06017349768854,0.210524188945418,9.7859229763981,1.29409128027367e-22,1.14514265519267e-20,"IGHV1-24"
"ENSG00000211951",921.082007117986,2.15494022578665,0.214860460257422,10.0294871527541,1.13102522915448e-23,1.11082835006244e-21,"IGHV2-26"
"ENSG00000211955",2009.68671971444,2.17838225173464,0.195036446615778,11.1691034651901,5.77609250000737e-29,1.03247653437632e-26,"IGHV3-33"
"ENSG00000211956",2658.00522384481,2.09285437349129,0.183915656769738,11.3794247333251,5.29478360405744e-30,1.04004677936842e-27,"IGHV4-34"
"ENSG00000211959",4839.69413854736,2.10552644512643,0.197616254957224,10.6546217343416,1.65917793566958e-26,2.21326907463386e-24,"IGHV4-39"
"ENSG00000211962",2855.59677328236,2.28394648283431,0.195734335737911,11.6686041527866,1.84424314384497e-31,4.33761134160905e-29,"IGHV1-46"
"ENSG00000211964",872.192997642692,2.23588056537386,0.202479312358736,11.0425136243673,2.38272726066319e-28,3.83704953012203e-26,"IGHV3-48"
"ENSG00000211965",1952.56391054797,2.28701709404142,0.204385251684933,11.1897364178064,4.57792469741516e-29,8.26569737033292e-27,"IGHV3-49"
"ENSG00000211966",6782.91496577284,2.2672052122158,0.189771402737625,11.9470330066032,6.72846772183486e-33,1.93986065367416e-30,"IGHV5-51"
"ENSG00000211967",914.055079210509,2.2910593748426,0.205422769245097,11.1528988887744,6.93108369652818e-29,1.21463844191609e-26,"IGHV3-53"
"ENSG00000211968",452.982300314325,2.47164346993607,0.234633656359867,10.5340534187696,6.01857158202664e-26,7.52321447753331e-24,"IGHV1-58"
"ENSG00000211970",398.504574069348,2.18524244963662,0.208315986563359,10.4900372059155,9.5990586039092e-26,1.19154980933942e-23,"IGHV4-61"
"ENSG00000211972",351.706630715989,2.32614204282343,0.199987450462196,11.6314400601009,2.8524439614898e-31,6.62174491060132e-29,"IGHV3-66"
"ENSG00000211973",1035.12398593308,2.28892605805859,0.219322190246537,10.4363633040763,1.6916777896573e-25,2.05705717619893e-23,"IGHV1-69"
"ENSG00000211974",427.750271923538,2.00287095805279,0.267263931308715,7.49398150451994,6.68151434543061e-14,2.17544752139476e-12,"IGHV2-70"
"ENSG00000223350",574.586273697784,2.35406380680215,0.237321073610822,9.91932056848241,3.43083579371609e-23,3.24477194776058e-21,"IGLV9-49"
"ENSG00000224041",230.598984319691,2.20708575466143,0.19868938291447,11.1082219003696,1.14415066312564e-28,1.94778029555913e-26,"IGKV3D-15"
"ENSG00000224373",3582.92756367363,2.2659973345925,0.192142792846525,11.7932986245416,4.22656163992678e-32,1.18046545802643e-29,"IGHV4-59"
"ENSG00000224650",2060.52008603915,2.04791156711901,0.196517676224452,10.4210043923988,1.98842105892067e-25,2.35384280981503e-23,"IGHV3-74"
"ENSG00000225698",475.660280909826,2.24034392188964,0.21013702393525,10.661347914492,1.54344092842224e-26,2.07436139816147e-24,"IGHV3-72"
"ENSG00000231292",296.339658798564,2.46133255460788,0.199976077540893,12.3081349773178,8.18937536477302e-35,3.11457626904931e-32,"IGKV1OR2-108"
"ENSG00000231475",1405.92871458725,2.20431963027461,0.201775517891506,10.924613914062,8.79134763094028e-28,1.29872180911618e-25,"IGHV4-31"
"ENSG00000239819",193.185281184204,2.34632582590491,0.189934259240383,12.3533576053564,4.67200412641671e-35,1.94214125022555e-32,"IGKV1D-8"
"ENSG00000239855",1808.74504942865,3.14105895574,0.196087514189649,16.0186586520857,9.46705077401312e-58,2.82039220975808e-54,"IGKV1-6"
"ENSG00000239951",12956.2108151303,2.20156712066056,0.173833996537483,12.6647673326998,9.26947862795955e-37,4.87329207278756e-34,"IGKV3-20"
"ENSG00000240382",1672.75655166612,2.31165212406768,0.197238195600775,11.7201037913906,1.00548732774876e-31,2.53142056105763e-29,"IGKV1-17"
"ENSG00000240671",464.679301537409,2.29023153541045,0.18942040292347,12.0907330998327,1.18227030960616e-33,3.70755820775615e-31,"IGKV1-8"
"ENSG00000240864",1728.57940632395,2.31081929786655,0.203558697541729,11.3521029844123,7.24001058193866e-30,1.39156117367907e-27,"IGKV1-16"
"ENSG00000241244",275.004560823134,2.38480600056344,0.231191720851188,10.3152742312017,6.01094604939633e-25,6.67364351757512e-23,"IGKV1D-16"
"ENSG00000241294",1100.18331383326,2.48709349026732,0.212898509804727,11.6820615256937,1.57430413409444e-31,3.75209151959175e-29,"IGKV2-24"
"ENSG00000241351",15269.8808159302,2.33652389868373,0.174391529191962,13.3981501825802,6.19889763203568e-41,5.27644262726847e-38,"IGKV3-11"
"ENSG00000241755",2745.18923161982,2.48857743226643,0.197323315835262,12.6116745085718,1.82082707252885e-36,9.29922397755807e-34,"IGKV1-9"
"ENSG00000242887",152.574901519926,2.18359576936753,0.19155096726,11.3995549101229,4.20262145710009e-30,8.44065826355776e-28,"IGHJ3"
"ENSG00000243063",209.785055674064,2.28535476119698,0.200349244705135,11.4068548876262,3.86450911647323e-30,7.84978414283626e-28,"IGKV3-7"
"ENSG00000243238",224.262588181332,2.85684813115675,0.205857933700544,13.8777655045957,8.63955005852846e-44,1.02954638197464e-40,"IGKV2-30"
"ENSG00000243466",11637.2333122852,2.27591100927447,0.184758553901433,12.3182984560956,7.22016382867816e-35,2.86800952083605e-32,"IGKV1-5"
"ENSG00000244437",3909.45243863241,2.17430946424074,0.172964839500697,12.570817690563,3.05547249971404e-36,1.4761235387132e-33,"IGKV3-15"
"ENSG00000244575",1427.31275691696,2.46330016478179,0.204884502815637,12.0228720617213,2.69440466531098e-33,8.02708056540563e-31,"IGKV1-27"
"ENSG00000248144",1873.45692029549,-2.01646758036625,0.323899162859114,-6.22560293940417,4.79707560583766e-10,7.32886550891864e-09,"ADH1C"
"ENSG00000251039",337.11986067936,2.09397410173045,0.240457575455986,8.7082891764154,3.08495465362597e-18,1.79037546862222e-16,"IGKV2D-40"
"ENSG00000251301",93.719275874015,2.48508351379582,0.179570979222789,13.8390040782293,1.48246277896199e-43,1.55876601023209e-40,"RP11-81H14.2"
"ENSG00000253755",5948.53742901726,2.19939394901833,0.174746731324255,12.5861807677375,2.51552967372479e-36,1.24903035882863e-33,"IGHGP"
"ENSG00000254395",198.022736333456,2.10560735118266,0.182531843221417,11.535561762933,8.73153051340402e-31,1.90336716984265e-28,"IGHV4-55"
"ENSG00000254709",8256.98879846681,2.2486014481304,0.176252444525144,12.7578454539371,2.81890376620208e-37,1.62541628454394e-34,"IGLL5"
"ENSG00000269404",419.886044760912,2.19684640307172,0.221817209235278,9.90385917596482,4.0051481177046e-23,3.72875117729009e-21,"SPIB"
"ENSG00000270550",3327.85479716892,2.21936163101964,0.182130395608979,12.1855642140286,3.71076275337694e-34,1.30058596503162e-31,"IGHV3-30"
"ENSG00000274576",794.442562389061,2.24101510188534,0.221877259418585,10.1002469011821,5.51032799862152e-24,5.62840645573484e-22,NA
"ENSG00000278196",2211.66969117532,2.69530396697041,0.19205021682682,14.0343708614548,9.60449784213847e-45,1.43066999106854e-41,NA
"ENSG00000280411",2475.02543885182,2.11509713861683,0.204779046432639,10.3286794985276,5.22752474586271e-25,5.87685564982994e-23,NA
