"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000006016",4451.78783308304,-3.0329125504082,0.634951272606418,-4.77660677481339,1.78277909130212e-06,7.89454537103105e-05,"CRLF1"
"ENSG00000007306",164.967833527976,2.51880431831574,0.530152370826652,4.75109507553128,2.02317970583982e-06,8.67237199691194e-05,"CEACAM7"
"ENSG00000007312",747.561712692293,2.03358699879435,0.323556544613128,6.2851054403053,3.27631247831542e-10,2.775348698893e-07,"CD79B"
"ENSG00000007402",4597.47311367306,-2.01865273968495,0.476251549570296,-4.23862713204042,2.24890817008937e-05,0.000507688165453297,"CACNA2D2"
"ENSG00000021826",12982.4860649995,-7.64250848279121,0.798217868909739,-9.57446429159732,1.02386712040664e-21,1.82135722049138e-17,"CPS1"
"ENSG00000023839",140.306396284344,-2.06220876330991,0.46953611483731,-4.39201309152639,1.12305935017371e-05,0.000305475577679514,"ABCC2"
"ENSG00000048462",328.977177245285,2.06356265067768,0.346499991409204,5.95544791295733,2.59360496339112e-09,9.61200806120095e-07,"TNFRSF17"
"ENSG00000077264",268.508681681124,-2.35012544804402,0.508502706289755,-4.62165770009663,3.80685782063255e-06,0.000136257935153385,"PAK3"
"ENSG00000079841",162.993759394334,-2.37302128825897,0.554645475136867,-4.27844703442932,1.88201759410027e-05,0.000444611035610223,"RIMS1"
"ENSG00000084110",319.746558579005,-2.72667173329523,0.462108292859535,-5.90050378975572,3.62393294809728e-09,1.28932286427405e-06,"HAL"
"ENSG00000094755",739.50811623638,2.86026751351255,0.624426286906113,4.58063277201943,4.63571206794776e-06,0.000156421021586769,"GABRP"
"ENSG00000096088",54512.6793160608,-4.1371858595456,0.793085944411553,-5.21656686604789,1.82269796724743e-07,1.64588701215049e-05,"PGC"
"ENSG00000100721",175.405677324647,2.42986959813873,0.526103258140131,4.61861727815326,3.86305621214179e-06,0.00013799178103974,"TCL1A"
"ENSG00000102854",30177.3745448854,-2.28303606156007,0.59420341499575,-3.84217930079786,0.000121946696821939,0.00166869983828113,"MSLN"
"ENSG00000104760",1139.68099952094,-3.11866649562043,0.728798426813158,-4.27918939020977,1.87575205145189e-05,0.000444017230593158,"FGL1"
"ENSG00000104921",128.897655611851,2.27824856043106,0.479692975192459,4.74938904309991,2.04032103519087e-06,8.7248247343775e-05,"FCER2"
"ENSG00000105227",1390.31326498926,-2.29855087473133,0.37733886561036,-6.09147661217813,1.1187393182113e-09,5.81356153372853e-07,"PRX"
"ENSG00000107159",1119.81475516402,2.36248018448043,0.668057585157479,3.53634213123039,0.000405708901634639,0.00386978855291077,"CA9"
"ENSG00000108602",2031.85957873192,-2.37032356163126,0.551239497103673,-4.2999886149041,1.7080688417283e-05,0.000414065727195524,"ALDH3A1"
"ENSG00000111432",379.829434286478,-2.87265476878627,0.622888630780599,-4.61182726226079,3.99144629891396e-06,0.000140880631371787,"FZD10"
"ENSG00000113296",766.243242450107,2.12202636773052,0.511470081252575,4.14887682683949,3.34110512261677e-05,0.000652096068447744,"THBS4"
"ENSG00000114812",1610.53662714145,-2.17089866753,0.407080113906554,-5.332853640766,9.6681235215487e-08,1.02372767455256e-05,"VIPR1"
"ENSG00000115112",3646.50457920618,-2.19705333731263,0.331601706489524,-6.62557910383383,3.45889441693953e-11,5.12752273191143e-08,"TFCP2L1"
"ENSG00000115758",16752.3273419647,-2.05589007981414,0.431343657502595,-4.76624622630916,1.87689869085531e-06,8.2236824659175e-05,"ODC1"
"ENSG00000116039",225.50350505552,-2.62865320131093,0.411050942580039,-6.39495724012136,1.60592290001427e-10,1.58709791490855e-07,"ATP6V1B1"
"ENSG00000117322",1229.59580001271,2.40204848154595,0.525004321602836,4.57529277894801,4.7555446580815e-06,0.00015901575925303,"CR2"
"ENSG00000117834",221.706798367838,-2.34989316900846,0.461398965071929,-5.09297451207357,3.52489100660571e-07,2.55935861700036e-05,"SLC5A9"
"ENSG00000124116",542.061745701602,2.10611968731386,0.54716829971494,3.84912592416463,0.000118540060672058,0.00164104675377332,"WFDC3"
"ENSG00000128218",166.499254569581,2.13228653525178,0.411355708642004,5.18355887728174,2.17691464202424e-07,1.8528772520081e-05,"VPREB3"
"ENSG00000132465",56433.1877112236,2.13960001501124,0.357596466534183,5.98328063962208,2.18687491924895e-09,8.27708892308927e-07,"IGJ"
"ENSG00000134020",1935.51946816927,-2.00512019317775,0.534849410915136,-3.74894344512216,0.000177581121610556,0.00216531736857002,"PEBP4"
"ENSG00000134115",171.400848197631,-2.34105876738828,0.558945571671108,-4.18834835812206,2.8099196890952e-05,0.00058926050323414,"CNTN6"
"ENSG00000134827",1765.02768319875,2.10057340264639,0.827181039452793,2.53943611187701,0.0111031322137024,0.0418283818190497,"TCN1"
"ENSG00000136881",322.675860367438,2.73182960587624,0.532481500168448,5.13037467970632,2.89166021815926e-07,2.25612910617698e-05,"BAAT"
"ENSG00000140279",1549.87181394911,3.71384042922049,0.524517377287508,7.08049073307402,1.43644870812196e-12,3.6504265812545e-09,"DUOX2"
"ENSG00000140835",85.6183897681576,2.51445134920582,0.429211670018367,5.85830145088605,4.67625250443951e-09,1.51247010548135e-06,"CHST4"
"ENSG00000141527",490.876066214135,-2.19928159638824,0.446862622359188,-4.92160562630466,8.58370533094827e-07,4.89408763244355e-05,"CARD14"
"ENSG00000141639",223.186581245302,-2.87976806493871,0.539031925115235,-5.34248145751862,9.16827523780339e-08,9.86408753670249e-06,"MAPK4"
"ENSG00000143171",125.125659856114,-2.1276045508116,0.481782582228804,-4.41610931837543,1.00493276295637e-05,0.000279761328955101,"RXRG"
"ENSG00000149948",543.56613828999,2.13260893804113,0.722134786728885,2.95320067282922,0.00314497445463797,0.0166159639363097,"HMGA2"
