"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000001626",491.676943876067,2.02072404750694,0.241268385012004,8.37541995983599,5.50272910180595e-17,4.06619606013979e-16,"CFTR"
"ENSG00000004776",324.878058320837,2.84520328319111,0.180024317044248,15.8045497958578,2.89450672317538e-56,3.59300747755277e-54,"HSPB6"
"ENSG00000004799",1173.92607988045,2.99774002318799,0.209843696859736,14.2855852620236,2.69138872982669e-46,2.00452389773551e-44,"PDK4"
"ENSG00000006534",1527.78380204616,2.29965928373709,0.176055610077492,13.0621187403507,5.41980815602181e-39,2.62544907286964e-37,"ALDH3B1"
"ENSG00000006606",136.526661965667,-2.07928330897831,0.224541821172393,-9.26011599140783,2.04210250267339e-20,2.11854801133411e-19,"CCL26"
"ENSG00000006740",587.738772842706,2.17637729173704,0.154828274148767,14.056717377382,7.00614253870138e-45,4.8729493338244e-43,"ARHGAP44"
"ENSG00000007171",1697.1165349121,-3.04464114736424,0.329654085132875,-9.23586657855924,2.56203634685575e-20,2.62443551289665e-19,"NOS2"
"ENSG00000007402",1323.42671975377,4.02136850369743,0.198749346802113,20.2333671451074,4.97844747846783e-91,2.96632495592041e-88,"CACNA2D2"
"ENSG00000007908",499.508589355476,2.39823326862995,0.266081935231355,9.0131382521129,2.00242600357095e-19,1.87497982262078e-18,"SELE"
"ENSG00000008853",1966.66393360973,2.38561471032656,0.140400193280119,16.9915343746493,9.48745199760476e-65,1.71301216623419e-62,"RHOBTB2"
"ENSG00000010319",471.339626339667,2.36391228602743,0.129245550462205,18.2900864097344,9.92576321056603e-75,2.72958488290566e-72,"SEMA3G"
"ENSG00000012779",1870.89552219276,2.13588939132115,0.154463842316737,13.8277629203435,1.73327437929722e-43,1.11849384584613e-41,"ALOX5"
"ENSG00000013588",12194.7437177057,2.28693063731711,0.19577951203583,11.6811540366827,1.59120385622066e-31,4.42344773405043e-30,"GPRC5A"
"ENSG00000016602",850.728429064764,-2.24779668586185,0.342629748859761,-6.56042475395758,5.36547241616458e-11,2.20073013857141e-10,"CLCA4"
"ENSG00000019102",467.607828341603,2.44236998026076,0.247898088082154,9.85231471188821,6.69832490334572e-23,8.76471633493544e-22,"VSIG2"
"ENSG00000019169",2342.8271591315,3.51859686170329,0.224192137852331,15.6945595657814,1.64782342656358e-55,1.93781866775158e-53,"MARCO"
"ENSG00000022267",2090.65096048689,2.86686009854515,0.172002571843203,16.6675420479095,2.25685990763745e-62,3.66739734991086e-60,"FHL1"
"ENSG00000023839",635.441115821077,-3.784705036779,0.314590385308094,-12.0305807600332,2.45428254967898e-33,7.84799652513627e-32,"ABCC2"
"ENSG00000025423",490.719546145482,3.28016283286968,0.146749363881608,22.3521434513065,1.15084518091954e-110,2.5714197011171e-107,"HSD17B6"
"ENSG00000031081",1658.34614005386,2.05821915276869,0.127276953216915,16.1711849690566,8.05343274944718e-59,1.1440766813887e-56,"ARHGAP31"
"ENSG00000038945",2655.32577331647,2.26862584032867,0.179422969456561,12.6440101130859,1.20735547620745e-36,5.01894863656006e-35,"MSR1"
"ENSG00000043591",191.263343417183,2.54445411402537,0.215930151753107,11.7836906674094,4.73724556478372e-32,1.37019845421536e-30,"ADRB1"
"ENSG00000046889",258.575789046359,2.32787066680864,0.155409570211976,14.978940252093,1.00811694490902e-50,9.58515446289824e-49,"PREX2"
"ENSG00000047648",170.714532517948,2.26394285997289,0.158521886401846,14.2815791015374,2.85067961729901e-46,2.11435262071452e-44,"ARHGAP6"
