"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL"
"ENSG00000004799",1173.92607988045,-2.20820982889533,0.158209604533683,-13.9574954087266,2.83212730963802e-44,9.77302618914663e-43,"PDK4"
"ENSG00000006534",1527.78380204616,-2.06275789603327,0.120408128235952,-17.1313841204398,8.65704071513781e-66,1.05989453961019e-63,"ALDH3B1"
"ENSG00000007402",1323.42671975377,-2.80690250947441,0.167105675182598,-16.7971704516156,2.55966927420091e-63,2.47319396088331e-61,"CACNA2D2"
"ENSG00000007908",499.508589355476,-2.34163488887592,0.183309147815129,-12.7742391298305,2.28369980182092e-37,5.46467656727564e-36,"SELE"
"ENSG00000019169",2342.8271591315,-2.7369453536931,0.16916442385444,-16.1792018163828,7.0705089550365e-59,5.26605614880323e-57,"MARCO"
"ENSG00000025423",490.719546145482,-2.29948251081249,0.125901669802076,-18.2641144825752,1.59784009426156e-74,4.02273122322894e-72,"HSD17B6"
"ENSG00000038945",2655.32577331647,-2.10929429034338,0.120731045306599,-17.4710182040317,2.38205433978083e-68,3.63924968577627e-66,"MSR1"
"ENSG00000048462",170.95374519976,-2.06070350634998,0.140414859579121,-14.675822149641,9.20925234068428e-49,3.9858446874027e-47,"TNFRSF17"
"ENSG00000058335",478.275258742493,-2.47540688665255,0.172861044968626,-14.3202124405868,1.63622278117618e-46,6.33062385574117e-45,"RASGRF1"
"ENSG00000064205",450.757729214106,-2.10439989228841,0.133823484726192,-15.7251912591732,1.01643443114491e-55,6.3527151946557e-54,"WISP2"
"ENSG00000064886",721.115031545203,-2.505478103698,0.160454526553065,-15.6148795395273,5.7653904705921e-55,3.48163360344033e-53,"CHI3L2"
"ENSG00000066405",3020.47682367063,-4.4673118035213,0.228224602767694,-19.5741902903803,2.56683539523171e-85,2.69895192292746e-82,"CLDN18"
"ENSG00000069122",3228.53694078091,-2.2606267384984,0.124204143906793,-18.2008962615196,5.07702833262749e-74,1.16348565956047e-71,"GPR116"
"ENSG00000077943",547.53927905011,-2.00824905833545,0.12411057103319,-16.1811281796327,6.85271843671922e-59,5.12520259650026e-57,"ITGA8"
