"Genes"	"regulator"
"EPB41L3"	0
"COBLL1"	0
"DLG3"	0
"SERTAD4"	0
"TRAF5"	0
"MRPL22"	0
"GEMIN5"	0
"NFE2L1"	1
"SEMA5B"	0
"GSK3B"	0
"ITGB5"	0
"ERC1"	0
"XPO1"	0
"RNF13"	0
"PALB2"	0
"DOP1A"	0
"LYRM2"	0
"BCKDHB"	0
"KAT6A"	1
"TUT7"	0
"ULK2"	0
"GRHL2"	1
"TNPO1"	0
"PLOD1"	0
"P2RX5"	0
"ITGAE"	0
"DIS3"	0
"PIBF1"	0
"TDRD3"	0
"NUFIP1"	0
"PDS5B"	0
"OXCT1"	0
"RRAGB"	0
"CYLD"	0
"SLC27A5"	0
"ZNF324"	1
"ZNF671"	1
"ZNF416"	1
"ZNF586"	1
"ZNF446"	1
"ZNF264"	1
"RPS5"	0
"FAT1"	0
"YTHDC1"	0
"CHMP2B"	0
"SMAP2"	0
"PPIE"	0
"ZMPSTE24"	0
"STARD7"	0
"NOA1"	0
"REST"	1
"HAL"	0
"SSH1"	0
"GSTP1"	0
"APLP2"	0
"FAM234B"	0
"SLCO1A2"	0
"WBP11"	0
"EIF3I"	0
"NKAIN1"	0
"COL16A1"	0
"TXLNA"	0
"NCOA1"	1
"AGBL5"	0
"EFR3B"	0
"KIF3C"	0
"RAB10"	0
"HADHA"	0
"MAPRE3"	0
"CAD"	0
"CD59"	0
"CD82"	0
"BCORL1"	0
"ATRX"	1
"AK6"	0
"FCN1"	0
"MYNN"	1
"MECOM"	1
"SCAMP1"	0
"PREP"	0
"HACE1"	0
"SEH1L"	0
"WDR47"	0
"WDFY1"	0
"OVGP1"	0
"SLC25A24"	0
"MAP3K4"	0
"PILRA"	0
"IGSF9"	0
"ABCB1"	0
"ZNF213"	1
"AKR1B1"	0
"CPNE3"	0
"RRN3"	0
"CTTN"	0
"WNT11"	0
"MTIF2"	0
"DDHD2"	0
"TTC39A"	0
"EPS15"	0
"ORC1"	0
"MGST2"	0
"CHERP"	0
"ATG16L1"	0
"USP40"	0
"POMGNT1"	0
"RAD54L"	0
"MAST2"	0
"DNAJA1"	0
"B4GALT1"	0
"CHMP5"	0
"NFX1"	1
"DIMT1"	0
"IPO11"	0
"FOLH1"	0
"EIF2AK1"	0
"EPDR1"	0
"SNX10"	0
"SEPHS1"	0
"MRPL28"	0
"ITPKC"	0
"CEACAM6"	0
"FAT2"	0
"RBM22"	1
"TMED2"	0
"ERO1B"	0
"ZFAND6"	0
"HSD17B2"	0
"TXLNG"	0
"PPEF1"	0
"LAT2"	0
"HUWE1"	0
"ZW10"	0
"ALG9"	0
"MYBPC2"	0
"NOX4"	0
"ACOX3"	0
"MTMR2"	0
"PPP1R15A"	0
"HSD17B14"	0
"TRIP6"	0
"ACHE"	0
"FTL"	0
"SRRT"	0
"BAX"	0
"NLK"	0
"PIGS"	0
"ADAMTS2"	0
"TMPRSS11E"	0
"ATXN7L3"	0
"PGS1"	1
"PSMC5"	0
"UIMC1"	0
"CETP"	0
"MMP2"	0
"LPCAT2"	0
"GNAO1"	0
"OGFOD1"	0
"SH3BP2"	0
"NOP14"	0
"ADD1"	0
"L2HGDH"	0
"TXNDC16"	0
"RTRAF"	0
"NID2"	0
"GMCL1"	0
"SF3B2"	0
"KLHL42"	0
"GNAS"	0
"DNM1L"	0
"PTHLH"	0
"PHACTR3"	0
"ERGIC2"	0
"TFAP2C"	1
"AURKA"	0
"CASS4"	0
"PIR"	0
"AAMDC"	0
"RFX2"	1
"METTL2A"	0
"SULT2B1"	0
"ALG6"	0
"CNOT3"	1
"PTPN4"	0
"DDX18"	0
"KHSRP"	1
"GNA11"	0
"ASAP3"	0
"EDEM2"	0
"DNMT3B"	1
"REM1"	0
"TPX2"	0
"FER1L4"	0
"PDRG1"	0
"EPB41L1"	0
"SLC15A1"	0
"DOCK9"	0
"ANKRD10"	0
"TGDS"	0
"DOCK3"	0
"C3orf18"	0
"COQ9"	0
"TMEM40"	0
"KIF9"	0
"ARHGAP28"	0
"CRLS1"	0
"PPP1R13B"	0
"ATRN"	0
"SMOX"	0
"SIGLEC1"	0
"FKBP1A"	0
"NSFL1C"	0
"SLC4A11"	0
"C20orf194"	1
"ZNF343"	1
"EBF4"	1
"CPXM1"	0
"MAVS"	0
"LZTS3"	0
"XRN2"	0
"KIZ"	0
"DYNLL1"	0
"TESC"	0
"SNX5"	0
"RPL6"	0
"SIRPG"	0
"MAPKAPK5"	0
"P2RX7"	0
"ESF1"	0
"RBBP9"	0
"ANAPC5"	0
"SLC23A2"	0
"SLC8B1"	0
"TMEM230"	0
"DZANK1"	0
"KDM2B"	0
"TASP1"	0
"OAS1"	0
"GCN1"	0
"RPLP0"	0
"PXN"	0
"SIRT4"	0
"KIF16B"	0
"TRMT6"	0
"CHGB"	0
"PEBP1"	0
"TBX5"	1
"BRAP"	0
"ERP29"	0
"NOS1"	0
"FUS"	0
"IGBP1"	0
"FXYD5"	0
"ZNF302"	1
"GRAMD1A"	0
"FXYD3"	0
"HEPH"	0
"CDIP1"	0
"CMTM1"	0
"GANAB"	0
"GMIP"	0
"RBM41"	0
"BIRC5"	0
"LAG3"	0
"MLF2"	0
"OTUB2"	0
"DDX24"	0
"ZBTB25"	1
"NECAP1"	0
"ARHGAP4"	0
"ANKRD24"	0
"DHX32"	0
"RCOR1"	1
"GPATCH2L"	0
"LTBP4"	0
"BLVRB"	0
"SLC9A1"	0
"SPTLC1"	0
"PAPOLA"	0
"CCNK"	0
"PCBP4"	1
"RGS1"	0
"YPEL3"	0
"MRPS33"	0
"NDUFB2"	0
"NUDC"	0
"MAEA"	0
"ICAM1"	0
"STRN4"	0
"IRAK3"	0
"LYZ"	0
"MUL1"	0
"TFAP4"	1
"PDCD7"	0
"SPG21"	0
"DNAJB11"	0
"P3H2"	0
"CHRD"	0
"FLT3LG"	0
"RAB11FIP3"	0
"GNPTG"	0
"ZNF268"	1
"GOLGA3"	0
"PABPC4"	0
"CD209"	0
"CERS4"	0
"MCOLN1"	0
"USP48"	0
"EFNB1"	0
"PDPR"	0
"AARS1"	0
"GLG1"	0
"KIF4A"	0
"TNRC6A"	0
"PLEKHG2"	0
"NAT14"	0
"PITPNM2"	0
"EXOC1"	0
"RBM27"	0
"OSBPL8"	0
"DTX2"	0
"NLRC4"	0
"PUS7"	0
"NRCAM"	0
"LAMB1"	0
"SLC26A4"	0
"DLD"	0
"WDR7"	0
"TXNL1"	0
"IL5RA"	0
"ABCC6"	0
"CMTM6"	0
"ITGA6"	0
"RAPGEF4"	0
"MAP3K20"	0
"FH"	0
"SEL1L3"	0
"TF"	0
"CDV3"	0
"MYO15A"	0
"ALKBH5"	0
"NLRP1"	0
"PITPNM3"	0
"SPAG7"	0
"ORC6"	0
"ZFHX4"	1
"ZC3HC1"	0
"ESR1"	1
"RGS17"	0
"ANGPT2"	0
"TMEM101"	0
"CD200"	0
"CCDC80"	0
"PSME1"	0
"PPP2R3C"	0
"HAUS4"	0
"JPH4"	0
"SLC7A8"	0
"OSGEP"	0
"SLC22A17"	0
"RNF31"	0
"SCFD1"	0
"G2E3"	0
"HECTD1"	0
"HNRNPC"	0
"RPGRIP1"	0
"SUPT16H"	0
"TOX4"	1
"GEMIN2"	0
"TGM1"	0
"TINF2"	0
"SEMA6A"	0
"TRPM7"	0
"TYRO3"	0
"WDR76"	0
"CAPN3"	0
"SNAP23"	0
"TBX15"	1
"PHGDH"	0
"COL9A3"	0
"EZR"	0
"MYL6"	0
"AGO1"	0
"TEKT2"	0
"CLSPN"	0
"RFFL"	0
"UNC13D"	0
"MFSD11"	0
"DPYSL2"	0
"TGFB2"	0
"GPATCH2"	0
"NUP50"	0
"CDC45"	0
"COMT"	0
"ADA2"	0
"VNN3"	0
"ECHDC1"	0
"LRRFIP2"	1
"SEC22C"	0
"XYLB"	0
"HDAC6"	0
"GABRP"	0
"KRT31"	0
"CDC6"	0
"UPRT"	0
"CDC23"	0
"AAAS"	0
"CBX5"	0
"FMO2"	0
"SUCO"	0
"MSH2"	0
"MAP3K1"	0
"DHPS"	0
"HOOK2"	0
"ARCN1"	0
"EPB41L4B"	0
"TMEM38B"	0
"PSMD5"	0
"PTGS1"	0
"NUP188"	0
"CRAT"	0
"SH2D3C"	0
"NANS"	0
"TBC1D2"	0
"WHRN"	0
"CWF19L1"	0
"SEMA4G"	0
"BTAF1"	0
"IKZF5"	1
"BLNK"	0
"TLL2"	0
"SORBS1"	0
"CRTAC1"	0
"BAMBI"	0
"IL11"	0
"WAC"	0
"CREM"	1
"NUBP2"	0
"HIVEP1"	1
"TREM2"	0
"FKBP5"	0
"SRPK1"	0
"BRPF3"	0
"MRPS18A"	0
"PGC"	0
"TMEM14A"	0
"EFHC1"	0
"HSP90AB1"	0
"CDC5L"	1
"ITPR3"	0
"ZNF184"	1
"DSP"	0
"SIRT1"	0
"HNRNPH3"	0
"IFT74"	0
"JAK2"	0
"IL12RB1"	0
"ABL1"	0
"ACOT7"	0
"SH3GLB1"	0
"CDC7"	0
"SYDE2"	0
"PCSK5"	0
"SCD"	0
"TMED1"	0
"ABLIM1"	0
"ERMP1"	0
"RAB18"	0
"NRP1"	0
"HSD17B7P2"	0
"PRTFDC1"	0
"PALMD"	0
"TSPAN15"	0
"MACROH2A2"	0
"WASHC2A"	0
"MAST3"	0
"MZF1"	1
"OCEL1"	0
"MYO9B"	0
"KCNK6"	0
"CATSPERG"	0
"PSMD8"	0
"FBXL19"	0
"STX1B"	0
"HSD3B7"	0
"SETD1A"	0
"BCL7C"	0
"CIRBP"	0
"ATP5F1D"	0
"CBARP"	0
"HNRNPM"	0
"MARCHF2"	0
"NDUFB7"	0
"TECR"	0
"TIMM13"	0
"CDC34"	0
"MTAP"	0
"MISP"	0
"CEP170B"	0
"POLR2E"	0
"POLRMT"	0
"HCN2"	0
"IZUMO4"	0
"RASSF7"	0
"GADD45B"	0
"PALM"	0
"MADCAM1"	0
"MKNK2"	0
"ARVCF"	0
"TRMT2A"	0
"RANBP1"	0
"ZDHHC8"	0
"KLHL22"	0
"MED15"	0
"SNAP29"	0
"CRKL"	0
"LZTR1"	0
"MMP11"	0
"CECR2"	0
"SMARCB1"	1
"P2RX6"	0
"DERL3"	0
"SLC7A4"	0
"BCL2L13"	0
"DDTL"	0
"DDT"	0
"OSM"	0
"CABIN1"	0
"TBC1D10A"	0
"SUSD2"	0
"SF3A1"	0
"GGT5"	0
"RNF215"	0
"SEC14L2"	0
"SPECC1L"	0
"PPIL2"	0
"YPEL1"	0
"SNRPD3"	0
"PES1"	0
"MAPK1"	0
"GGT1"	0
"PRODH"	0
"PPM1F"	0
"SLC35E4"	0
"TOP3B"	0
"CRYBB3"	0
"CYTH4"	0
"ESS2"	0
"CRYBB2P1"	0
"MFNG"	0
"CARD10"	0
"LRP5L"	0
"SLC25A1"	0
"GRK3"	0
"PLA2G3"	0
"LGALS2"	0
"GGA1"	0
"HIRA"	0
"SH3BP1"	0
"LGALS1"	0
"HPS4"	0
"PIK3IP1"	0
"SRRD"	0
"PATZ1"	1
"TRIOBP"	0
"TFIP11"	0
"GCAT"	0
"CRYBB1"	0
"ANKRD54"	0
"EIF3L"	0
"SNU13"	0
"MICALL1"	0
"CCDC134"	0
"DEPDC5"	0
"PICK1"	0
"TTC28"	0
"SLC16A8"	0
"CENPM"	0
"SEPTIN3"	0
"SLC5A1"	0
"TPTEP1"	0
"KDELR3"	0
"CYP2D6"	0
"DDX17"	0
"DMC1"	0
"TCF20"	1
"HSCB"	0
"CBY1"	0
"TOMM22"	0
"RSPH14"	0
"RTCB"	0
"JOSD1"	0
"FBXO7"	0
"GTPBP1"	0
"POLDIP3"	0
"RAB36"	0
"TIMP3"	0
"PPP6R2"	0
"SBF1"	0
"SUN2"	0
"CYB5R3"	0
"DNAL4"	0
"LMF2"	0
"RHBDD3"	0
"PACSIN2"	0
"TTLL1"	0
"RASL10A"	0
"AP1B1"	0
"HMGXB4"	1
"TOM1"	0
"NEFH"	0
"CHKB"	0
"BIK"	0
"HMOX1"	0
"MCAT"	0
"THOC5"	0
"MCM5"	0
"APOBEC3H"	0
"ARSA"	0
"TSPO"	0
"RASD2"	0
"TTLL12"	0
"CBX7"	0
"PDGFB"	0
"CABP7"	0
"RPL3"	0
"ZMAT5"	1
"RBFOX2"	0
"SYNGR1"	0
"TAB1"	0
"ASCC2"	0
"MTMR3"	0
"MIEF1"	0
"APOL4"	0
"APOL1"	0
"PNPLA3"	0
"MYH9"	0
"CACNA1I"	0
"SAMM50"	0
"TXN2"	0
"FOXRED2"	0
"GRAP2"	0
"EIF3D"	0
"TNRC6B"	0
"SGSM3"	0
"IFT27"	0
"KIAA0930"	0
"NCF4"	0
"CSF2RB"	0
"SLC25A17"	0
"FAM118A"	0
"KCTD17"	0
"ST13"	0
"IL2RB"	0
"RBX1"	0
"EP300"	1
"L3MBTL2"	1
"CHADL"	0
"RANGAP1"	0
"ZC3H7B"	1
"PHF5A"	1
"ACO2"	0
"POLR3H"	0
"TRMU"	0
"PMM1"	0
"DESI1"	0
"CERK"	0
"BRD1"	0
"ZBED4"	1
"MLC1"	0
"HDAC10"	0
"ABHD4"	0
"KHNYN"	0
"FKBP3"	0
"SDR39U1"	0
"GZMH"	0
"GZMB"	0
"RBM23"	0
"PRMT5"	0
"COCH"	0
"AP4S1"	0
"POLE2"	0
"VCPKMT"	0
"SOS2"	0
"CDKL1"	0
"NIN"	0
"PYGL"	0
"TRIM9"	0
"PSMC6"	0
"GNPNAT1"	0
"DDHD1"	0
"CDKN3"	0
"CNIH1"	0
"CGRRF1"	0
"ATP6V1D"	0
"PLEK2"	0
"PIGH"	0
"PSMA3"	0
"VTI1B"	0
"TIMM9"	0
"GSTZ1"	0
"KIAA0586"	0
"TMED8"	0
"SAMD15"	0
"AHSA1"	0
"DAAM1"	0
"SPTLC2"	0
"RIN3"	0
"LGMN"	0
"ALKBH1"	0
"SNW1"	0
"ITPK1"	0
"DHRS7"	0
"PPM1A"	0
"SIX4"	1
"GALNT16"	0
"ASB2"	0
"CEP128"	0
"ERH"	0
"HIF1A"	1
"SUSD6"	0
"SRSF5"	0
"EIF5"	0
"DICER1"	0
"ZFYVE21"	0
"MTHFD1"	0
"ZC3H14"	1
"TELO2"	0
"PCNX1"	0
"BDKRB1"	0
"GSKIP"	0
"VRK1"	0
"PSMC1"	0
"PAPLN"	0
"RPS6KA5"	0
"PPP4R3A"	0
"C14orf93"	0
"PSMB5"	0
"YY1"	1
"ACIN1"	0
"CCNB1IP1"	0
"TRIP11"	0
"APEX1"	1
"PABPN1"	0
"EFS"	0
"ARHGAP5"	0
"CINP"	0
"DHRS2"	0
"SRP54"	0
"CHD8"	0
"PCK2"	0
"PRORP"	0
"DCAF11"	0
"PSMA6"	0
"NFKBIA"	1
"EMC9"	0
"PSME2"	0
"BRMS1L"	0
"REC8"	0
"TM9SF1"	0
"SEC23A"	0
"GMPR2"	0
"PNN"	0
"RABGGTA"	0
"NFATC4"	1
"PLTP"	0
"PCIF1"	0
"GSS"	0
"MMP9"	0
"TRPC4AP"	0
"PYGB"	0
"ABHD12"	0
"PROCR"	0
"GINS1"	0
"NINL"	0
"CD40"	0
"UQCC1"	0
"ZMYND8"	1
"SGK2"	0
"IFT52"	0
"MYBL2"	1
"NDRG3"	0
"SLA2"	0
"RAB5IF"	0
"NFATC2"	1
"PABPC1L"	0
"STK4"	0
"SALL4"	1
"ADNP"	1
"PFDN4"	0
"DOK5"	0
"CSTF1"	0
"BMP7"	0
"RAE1"	0
"TPD52L2"	0
"DNAJC5"	0
"NELFCD"	0
"CTSZ"	0
"PRPF6"	0
"PRELID3B"	0
"MTG2"	0
"PSMA7"	0
"SLCO4A1"	0
"MRGBP"	0
"TCFL5"	1
"DIDO1"	1
"GID8"	0
"SLC17A9"	0
"BIRC7"	0
"ARFGAP1"	0
"EEF1A2"	0
"PTK6"	0
"GMEB2"	1
"C20orf27"	0
"SPEF1"	0
"CDC25B"	0
"ISM1"	0
"RNF24"	0
"ARFRP1"	0
"NDUFAF5"	0
"TRIB3"	0
"RASSF2"	0
"CSNK2A1"	0
"SLC52A3"	0
"RPS10P5"	0
"RSPO4"	0
"CDS2"	0
"HM13"	0
"SNPH"	0
"SIRPB1"	0
"SEC23B"	0
"FERMT1"	0
"CCM2L"	0
"PLCB4"	0
"MYL9"	0
"HCK"	0
"TM9SF4"	0
"TLDC2"	0
"CRNKL1"	0
"POFUT1"	0
"SAMHD1"	0
"KIF3B"	0
"MROH8"	0
"NOP56"	0
"MANBAL"	0
"IDH3B"	0
"MAPRE1"	0
"JAG1"	0
"CDK5RAP1"	0
"SNTA1"	0
"TTI1"	0
"E2F1"	1
"RPRD1B"	0
"PXMP4"	0
"CHMP4B"	0
"CST3"	0
"ACTR5"	0
"WFDC2"	0
"AHCY"	0
"PPP1R16B"	0
"FAM83D"	0
"DHX35"	0
"DNTTIP1"	0
"MAP1LC3A"	0
"SYNDIG1"	0
"PIGU"	0
"TNNC2"	0
"ACOT8"	0
"APMAP"	0
"CELF4"	0
"ZNF516"	1
"ADNP2"	1
"RBFA"	0
"USP14"	0
"VAPA"	0
"METTL4"	0
"LPIN2"	0
"SMCHD1"	0
"MYOM1"	0
"MYL12A"	0
"CEP76"	0
"CEP192"	0
"RNMT"	0
"SMAD7"	1
"LIPG"	0
"LAMA1"	0
"RNF125"	0
"ANKRD12"	0
"POLI"	0
"MIB1"	0
"RBBP8"	0
"RIOK3"	0
"CSTF2"	0
"MXRA5"	0
"VSIG1"	0
"PSMD10"	0
"ATG4A"	0
"STS"	0
"TBL1X"	0
"GPR143"	0
"PGRMC1"	0
"POLA1"	0
"MID1"	0
"NKAP"	0
"NXT2"	0
"MCTS2P"	0
"ALG13"	0
"PRPS2"	0
"TLR8"	0
"MOSPD1"	0
"AMMECR1"	0
"CHRDL1"	0
"WDR13"	0
"SUV39H1"	0
"SRPX"	0
"XIAP"	0
"STAG2"	1
"ATP11C"	0
"ABCD1"	0
"CCDC22"	0
"CACNA1F"	0
"SYP"	0
"PLP2"	0
"BMX"	0
"PLS3"	0
"NAA10"	0
"RENBP"	0
"ELF4"	1
"SMARCA1"	1
"MTMR8"	0
"ASB9"	0
"ZC3H12B"	0
"RBBP7"	0
"KCND1"	0
"SLC25A14"	0
"FMR1"	0
"PIM2"	0
"SCML2"	0
"SLC35A2"	0
"PQBP1"	0
"PCSK1N"	0
"EMD"	0
"TAZ"	0
"PGK1"	0
"MAGT1"	0
"SMS"	0
"PHEX"	0
"UBL4A"	0
"CD99L2"	0
"EEA1"	0
"RP2"	0
"JADE3"	0
"CDK16"	0
"USP11"	0
"PCYT1B"	0
"HTATSF1"	0
"VGLL1"	0
"CD40LG"	0
"TIMP1"	0
"KLHL4"	0
"GABRE"	0
"FGD1"	0
"PIN4"	0
"PORCN"	0
"MAGED2"	0
"RBM3"	0
"KLF8"	1
"SRPX2"	0
"SYTL4"	0
"ZDHHC15"	0
"CENPI"	0
"DRP2"	0
"PBDC1"	0
"GLA"	0
"ARMCX3"	0
"BEX4"	0
"RUBCNL"	0
"NALCN"	0
"FGF14"	0
"NDFIP2"	0
"TNFSF13B"	0
"FNDC3A"	0
"CDADC1"	0
"CAB39L"	0
"KLF5"	1
"STK24"	0
"ACP5"	0
"DNAJC3"	0
"UGGT2"	0
"ARHGEF7"	0
"PARP4"	0
"SUPT20H"	0
"MRPS31"	0
"SLC25A15"	0
"KPNA3"	0
"FLT1"	0
"RGCC"	0
"VWA8"	0
"DGKH"	0
"KATNAL1"	0
"INTS6"	0
"DHRS12"	0
"MEDAG"	0
"TSC22D1"	1
"CLN5"	0
"MSLN"	0
"MGRN1"	0
"ZNF629"	1
"TRADD"	0
"HSF4"	1
"CORO1A"	0
"MAPK3"	0
"GDPD3"	0
"ELMO3"	0
"PHKB"	0
"LYRM1"	0
"NUTF2"	0
"NUP93"	0
"CENPT"	1
"TSNAXIP1"	0
"NFAT5"	1
"LONP2"	0
"N4BP1"	0
"ARL2BP"	0
"PLLP"	0
"ZNF423"	1
"CCL22"	0
"DHODH"	0
"CCL17"	0
"CTCF"	1
"ACD"	0
"POLR2C"	0
"PARD6A"	0
"ZNF821"	1
"MMP15"	0
"USB1"	0
"CYB5B"	0
"CCDC113"	0
"NME3"	0
"NDRG4"	0
"PSMD7"	0
"SETD6"	0
"SLC38A7"	0
"VAC14"	0
"HAS3"	0
"TANGO6"	0
"COG4"	0
"SMPD3"	0
"SLC7A6OS"	0
"SLC7A6"	0
"PLA2G15"	0
"ESRP2"	0
"FA2H"	0
"WDR59"	0
"MON1B"	0
"CMC2"	0
"AXIN1"	0
"HCFC1R1"	0
"NPRL3"	0
"MLYCD"	0
"MPG"	0
"HSDL1"	0
"TAF1C"	0
"NAGPA"	0
"WFDC1"	0
"SEC14L5"	0
"COTL1"	0
"USP10"	0
"CRISPLD2"	0
"TSC2"	0
"ZNF500"	1
"NME4"	0
"ABCC1"	0
"NOMO3"	0
"LMF1"	0
"FOXF1"	1
"CIAO3"	0
"MTHFSD"	0
"CLCN7"	0
"HAGHL"	0
"ANTKMT"	0
"SLC7A5"	0
"METRN"	0
"FBXO31"	0
"STUB1"	0
"RHBDL1"	0
"NUBP1"	0
"UBE2I"	0
"MEFV"	0
"CRYM"	0
"EEF2K"	0
"CAPN15"	0
"PIEZO1"	0
"GSPT1"	0
"ZNF174"	1
"CLUAP1"	0
"UBFD1"	0
"EARS2"	0
"ELOB"	0
"GGA2"	0
"CPPED1"	0
"USP31"	0
"HMOX2"	0
"DNAJA3"	0
"BFAR"	0
"RRN3P2"	0
"RBL2"	0
"QPRT"	0
"XYLT1"	0
"PYCARD"	0
"RPGRIP1L"	0
"MAZ"	1
"STX4"	0
"CDIPT"	0
"BCKDK"	0
"KAT8"	1
"NOMO1"	0
"IL21R"	0
"SYT17"	0
"TMC5"	0
"CCP110"	0
"VPS35L"	0
"RNF40"	0
"KNOP1"	0
"AQP9"	0
"AAGAB"	0
"IQCH"	0
"LACTB"	0
"CORO2B"	0
"CSK"	0
"HERC1"	0
"TRIP4"	0
"MTFMT"	0
"RASL12"	0
"AP3B2"	0
"ACSBG1"	0
"IGDCC4"	0
"RAB11A"	0
"CTSH"	0
"TTC23"	0
"CD276"	0
"FAH"	0
"CEMIP"	0
"RPAP1"	0
"HOMER2"	0
"EHD4"	0
"TMEM87A"	0
"ZNF106"	0
"CEP152"	0
"ATP8B4"	0
"OCA2"	0
"DTWD1"	0
"TGM5"	0
"GABPB1"	1
"TJP1"	0
"BMF"	0
"DMXL2"	0
"DNAJC17"	0
"EIF3J"	0
"SPG11"	0
"RHOV"	0
"VPS18"	0
"OIP5"	0
"SLC30A4"	0
"BLOC1S6"	0
"MYEF2"	1
"SGK3"	0
"PDGFRL"	0
"CSPP1"	0
"ZDHHC2"	0
"BRF2"	0
"TRIM35"	0
"ZFAND1"	0
"CA2"	0
"FZD3"	0
"INTS9"	0
"RIPK2"	0
"EYA1"	0
"NBN"	0
"TRPA1"	0
"CPQ"	0
"DECR1"	0
"BPNT2"	0
"SFRP1"	0
"LAPTM4B"	0
"UBE2W"	0
"POP1"	0
"NIPAL2"	0
"IKBKB"	0
"PLAT"	0
"JPH1"	0
"STK3"	0
"GDAP1"	0
"RAB2A"	0
"EIF3E"	0
"EMC2"	0
"ESRP1"	0
"CCN4"	0
"NDRG1"	0
"ZC2HC1A"	0
"IL7"	0
"ARMC1"	0
"TRPS1"	1
"SPAG1"	0
"CHRAC1"	0
"NCALD"	0
"SNX16"	0
"UBR5"	0
"GSDMD"	0
"GFUS"	0
"PYCR3"	0
"EEF1D"	0
"SQLE"	0
"SH2D4A"	0
"INTS10"	0
"ERI1"	0
"SLC39A14"	0
"MTMR9"	0
"LEPROTL1"	0
"DCTN6"	0
"R3HCC1"	0
"GSR"	0
"TNFRSF10A"	0
"UBXN8"	0
"PPP2CB"	0
"ERICH1"	0
"TUSC3"	0
"ARHGEF10"	0
"KLHDC4"	0
"MCM4"	0
"KCTD9"	0
"ASAH1"	0
"BNIP3L"	0
"MAN2B1"	0
"KCNN4"	0
"NUCB1"	0
"DHDH"	0
"GYS1"	0
"MAP4K1"	0
"ECH1"	0
"HNRNPL"	0
"NFKBIB"	1
"TUBB4A"	0
"SARS2"	0
"SNRNP70"	0
"CLPTM1"	0
"RELB"	1
"CLASRP"	0
"LIN7B"	0
"PPP1R37"	0
"FCGRT"	0
"PIH1D1"	0
"ARHGEF18"	0
"PPP1R13L"	1
"PEX11G"	0
"ERCC2"	0
"DOT1L"	0
"PLEKHJ1"	0
"SLC17A7"	0
"RNASEH2A"	0
"KLC3"	0
"CD37"	0
"SF3A2"	0
"AMH"	0
"DKKL1"	0
"LYL1"	1
"OAZ1"	0
"TRMT1"	0
"STX10"	0
"DMPK"	0
"TBC1D17"	0
"IL4I1"	0
"TLE6"	0
"CCDC130"	0
"PTOV1"	0
"TLE5"	0
"NOVA2"	0
"SGTA"	0
"LILRB1"	0
"MED25"	0
"LILRA1"	0
"SNAPC2"	0
"C19orf53"	0
"TIMM44"	0
"CCDC61"	0
"IL27RA"	0
"ASF1B"	0
"TNNT1"	0
"VRK3"	0
"FAM32A"	0
"PPP6R1"	0
"C19orf44"	0
"MED26"	0
"OLFM2"	0
"RASAL3"	0
"AKAP8"	0
"EPHX3"	0
"ILVBL"	0
"ZNF419"	1
"SYDE1"	0
"AURKC"	0
"POP4"	0
"CCNE1"	0
"URI1"	0
"PDCD5"	0
"ANKRD27"	0
"RPS16"	0
"TIMM50"	0
"FBL"	0
"DYRK1B"	0
"CCNP"	0
"GPI"	0
"AKT2"	0
"PLD3"	0
"PRX"	0
"PIAS4"	0
"NUMBL"	0
"EBI3"	0
"YJU2"	0
"TBCB"	0
"FSD1"	0
"POLR2I"	0
"CLIP3"	0
"SLC1A5"	0
"PRKD2"	0
"TJP3"	0
"APLP1"	0
"CACTIN"	0
"CCDC9"	0
"HNRNPUL1"	0
"FZR1"	0
"BBC3"	0
"TGFB1"	0
"DENND3"	0
"DMAC2"	0
"CEACAM4"	0
"PLIN3"	0
"MYH14"	0
"MRPL4"	0
"SIGLEC8"	0
"CD79A"	0
"RPS19"	0
"NOP53"	0
"NKG7"	0
"ICAM5"	0
"ETFB"	0
"CD33"	0
"CEACAM5"	0
"BABAM1"	0
"TYK2"	0
"CDC37"	0
"NAPA"	0
"RABAC1"	0
"ATP1A3"	0
"MEIS3"	1
"PTPRS"	0
"CNFN"	0
"MEGF8"	0
"KDELR1"	0
"CYTH2"	0
"GRWD1"	0
"GRIN2D"	0
"CLEC11A"	0
"ODAD1"	0
"CARD8"	0
"LIG1"	0
"ZNF175"	1
"PLA2G4C"	0
"RAB3D"	0
"DBP"	1
"TMEM205"	0
"CAPS"	0
"PLPPR2"	0
"FAM83E"	0
"RASIP1"	0
"BCAT2"	0
"MIER2"	1
"PLEKHA4"	0
"PPP2R1A"	0
"TNPO2"	0
"WDR83OS"	0
"GCDH"	0
"LILRB5"	0
"DNASE2"	0
"MAST1"	0
"LENG1"	0
"PRPF31"	0
"TFPT"	0
"JAK3"	0
"RPL18A"	0
"KCNN1"	0
"ARRDC2"	0
"PIK3R2"	0
"RAB3A"	0
"PDE4C"	0
"ISYNA1"	0
"ELL"	0
"CRTC1"	0
"COMP"	0
"COPE"	0
"DDX49"	0
"ETV2"	1
"ARMC6"	0
"TMEM147"	0
"TMEM59L"	0
"HAMP"	0
"USF2"	1
"LSR"	0
"KXD1"	0
"FKBP8"	0
"SUGP1"	0
"HPN"	0
"ZNF14"	1
"SCN1B"	0
"PBX4"	1
"ERF"	1
"GSK3A"	0
"ATP13A1"	0
"ZNF574"	1
"GRIK5"	0
"SIPA1L3"	0
"ZNF85"	1
"ETHE1"	0
"CADM4"	0
