"Genes"	"regulator"
"BID"	0
"MATR3"	1
"XYLT2"	0
"NUDCD3"	0
"CHDH"	0
"IL20RA"	0
"CLCA4"	0
"GLT8D1"	0
"ATP2C1"	0
"IGF1"	0
"SLC38A5"	0
"RALBP1"	0
"RUFY3"	0
"CNTN1"	0
"SLC11A1"	0
"WWTR1"	0
"AGPS"	0
"STEEP1"	0
"TTC27"	0
"ZNF582"	1
"VSIG2"	0
"PHLDB1"	0
"MARCO"	0
"CYP24A1"	0
"PRDM11"	1
"SNAI2"	1
"CD74"	0
"HGF"	0
"ZRANB1"	0
"NCDN"	0
"ADGRA2"	0
"ZFP64"	1
"MNAT1"	0
"SAMD4A"	0
"RUNX3"	1
"MRE11"	0
"PLEKHB1"	0
"SERPINB1"	0
"SPAST"	0
"NRXN3"	0
"OSBPL5"	0
"AQR"	0
"CPS1"	0
"FHL1"	0
"RTF2"	0
"NLRP2"	0
"SLC45A4"	0
"RNF10"	0
"ZNF839"	1
"ZDHHC6"	0
"GRAMD1B"	0
"RNH1"	0
"NDUFS1"	0
"RB1CC1"	0
"ERP44"	0
"ALAS1"	0
"BIRC3"	0
"AKAP11"	0
"GLRX2"	0
"SNAPC1"	0
"DERA"	0
"STRAP"	0
"ABCC2"	0
"DEF6"	0
"PLEKHO1"	0
"GCLM"	0
"UBR2"	0
"EHD2"	0
"DEPDC1"	0
"CCDC28A"	0
"RRAGD"	0
"HSF2"	1
"PHF20"	1
"HSD17B6"	0
"NR1H3"	1
"TYMP"	0
"NCAPH2"	0
"TOMM34"	0
"SEC63"	0
"KPNA6"	0
"VIM"	0
"RTEL1-TNFRSF6B"	0
"FAS"	0
"RNASET2"	0
"CD44"	0
"KCNG1"	0
"AGPAT4"	0
"SLAMF7"	0
"BTN3A1"	0
"MIPEP"	0
"PRKCH"	0
"IFNGR1"	0
"B4GALT7"	0
"SH2D2A"	0
"VRK2"	0
"TNFRSF1B"	0
"VEZT"	0
"POU2F2"	1
"BRD9"	0
"SNX1"	0
"TBPL1"	1
"ARNTL2"	1
"BCLAF1"	1
"SLC39A9"	0
"ANK1"	0
"IBSP"	0
"TFB1M"	1
"RABEP1"	0
